session_id,session_kind,open_at,close_at,open,high,low,close,volume
XTAI:2025-06-04,regular,01:00:00Z,05:30:00Z,456.50,458.50,454.50,457.50,953000
XTAI:2025-06-05,regular,01:00:00Z,05:30:00Z,457.00,459.00,455.00,458.00,954000
XTAI:2025-06-06,regular,01:00:00Z,05:30:00Z,457.50,459.50,455.50,458.50,955000
XTAI:2025-06-09,regular,01:00:00Z,05:30:00Z,458.00,460.00,456.00,459.00,956000
XTAI:2025-06-10,regular,01:00:00Z,05:30:00Z,458.50,460.50,456.50,459.50,957000
XTAI:2025-06-11,regular,01:00:00Z,05:30:00Z,459.00,461.00,457.00,460.00,958000
XTAI:2025-06-12,regular,01:00:00Z,05:30:00Z,459.50,461.50,457.50,460.50,959000
XTAI:2025-06-13,regular,01:00:00Z,05:30:00Z,460.00,462.00,458.00,461.00,960000
XTAI:2025-06-16,regular,01:00:00Z,05:30:00Z,460.50,462.50,458.50,461.50,961000
XTAI:2025-06-17,regular,01:00:00Z,05:30:00Z,461.00,463.00,459.00,462.00,962000
XTAI:2025-06-18,regular,01:00:00Z,05:30:00Z,461.50,463.50,459.50,462.50,963000
XTAI:2025-06-19,regular,01:00:00Z,05:30:00Z,462.00,464.00,460.00,463.00,964000
XTAI:2025-06-20,regular,01:00:00Z,05:30:00Z,462.50,464.50,460.50,463.50,965000
XTAI:2025-06-23,regular,01:00:00Z,05:30:00Z,463.00,465.00,461.00,464.00,966000
XTAI:2025-06-24,regular,01:00:00Z,05:30:00Z,463.50,465.50,461.50,464.50,967000
XTAI:2025-06-25,regular,01:00:00Z,05:30:00Z,464.00,466.00,462.00,465.00,968000
XTAI:2025-06-26,regular,01:00:00Z,05:30:00Z,464.50,466.50,462.50,465.50,969000
XTAI:2025-06-27,regular,01:00:00Z,05:30:00Z,465.00,467.00,463.00,466.00,970000
XTAI:2025-06-30,regular,01:00:00Z,05:30:00Z,465.50,467.50,463.50,466.50,971000
XTAI:2025-07-01,regular,01:00:00Z,05:30:00Z,466.00,468.00,464.00,467.00,972000
XTAI:2025-07-02,regular,01:00:00Z,05:30:00Z,466.50,468.50,464.50,467.50,973000
